id,receiver_subcategory,ci_subtype,receiver_country,region_name
2228,Health,Hospitals,"Korea, Republic of",NEA
2228,Health,Hospitals,"Korea, Republic of",SCS
2228,Health,Hospitals,"Korea, Republic of",ASIA
2894,Research,Research Institutes,"Korea, Republic of",NEA
2894,Research,Research Institutes,"Korea, Republic of",SCS
2894,Research,Research Institutes,"Korea, Republic of",ASIA
2894,Health,Pharmaceutical and Biotech companies,"Korea, Republic of",NEA
2894,Health,Pharmaceutical and Biotech companies,"Korea, Republic of",SCS
2894,Health,Pharmaceutical and Biotech companies,"Korea, Republic of",ASIA
2894,Defence industry,Research and Development Organizations,"Korea, Republic of",NEA
2894,Defence industry,Research and Development Organizations,"Korea, Republic of",SCS
2894,Defence industry,Research and Development Organizations,"Korea, Republic of",ASIA
2894,Defence industry,Defense Contractors,"Korea, Republic of",NEA
2894,Defence industry,Defense Contractors,"Korea, Republic of",SCS
2894,Defence industry,Defense Contractors,"Korea, Republic of",ASIA
2894,Research,Research Institutes,Not available,No region
2894,Health,Pharmaceutical and Biotech companies,Not available,No region
2894,Defence industry,Research and Development Organizations,Not available,No region
2894,Defence industry,Defense Contractors,Not available,No region
1219,Defence industry,Unknown,Russia,SCO
1219,Defence industry,Unknown,Russia,CSTO
1219,Defence industry,Unknown,Russia,EASTEU
1219,Defence industry,Unknown,Russia,EUROPE
1219,Defence industry,Unknown,Portugal,EU
1219,Defence industry,Unknown,Portugal,NATO
1219,Defence industry,Unknown,Portugal,EUROPE
1219,Defence industry,Unknown,Ukraine,EASTEU
1219,Defence industry,Unknown,Ukraine,EUROPE
1219,Defence industry,Unknown,Romania,EU
1219,Defence industry,Unknown,Romania,NATO
1219,Defence industry,Unknown,Romania,BALKANS
1219,Defence industry,Unknown,Romania,EUROPE
1219,Defence industry,Unknown,Turkey,MEA
1219,Defence industry,Unknown,Turkey,NATO
1219,Defence industry,Unknown,Turkey,ASIA
1219,Defence industry,Unknown,Turkmenistan,ASIA
1219,Defence industry,Unknown,Afghanistan,SASIA
1219,Defence industry,Unknown,Afghanistan,ASIA
1511,Energy,Electric Utilities,Ukraine,EASTEU
1511,Energy,Electric Utilities,Ukraine,EUROPE
3228,Finance,Fintech Companies,United States,NORTHAM
3228,Finance,Fintech Companies,United States,NATO
3230,Telecommunications,Internet Service Providers,Taiwan,SCS
3230,Telecommunications,Internet Service Providers,Taiwan,ASIA
3231,Finance,Fintech Companies,Sweden,NORTHEU
3231,Finance,Fintech Companies,Sweden,EU
3231,Finance,Fintech Companies,Sweden,EUROPE
3232,Finance,Fintech Companies,Not available,No region
3243,Defence industry,Defense Contractors,United States,NORTHAM
3243,Defence industry,Defense Contractors,United States,NATO
3245,Health,Hospitals,Germany,WESTEU
3245,Health,Hospitals,Germany,EU
3245,Health,Hospitals,Germany,NATO
3245,Health,Hospitals,Germany,EUROPE
3246,Research,Private Research Firms,Netherlands,WESTEU
3246,Research,Private Research Firms,Netherlands,EU
3246,Research,Private Research Firms,Netherlands,NATO
3246,Research,Private Research Firms,Netherlands,EUROPE
3246,Health,Pharmaceutical and Biotech companies,Netherlands,WESTEU
3246,Health,Pharmaceutical and Biotech companies,Netherlands,EU
3246,Health,Pharmaceutical and Biotech companies,Netherlands,NATO
3246,Health,Pharmaceutical and Biotech companies,Netherlands,EUROPE
3248,Food,Food Service Providers,France,WESTEU
3248,Food,Food Service Providers,France,EU
3248,Food,Food Service Providers,France,NATO
3248,Food,Food Service Providers,France,EUROPE
3255,Finance,Fintech Companies,United States,NORTHAM
3255,Finance,Fintech Companies,United States,NATO
3255,Finance,Payment Processors,United States,NORTHAM
3255,Finance,Payment Processors,United States,NATO
3256,Food,Beverage Companies,Belgium,WESTEU
3256,Food,Beverage Companies,Belgium,NATO
3256,Food,Beverage Companies,Belgium,EU
3256,Food,Beverage Companies,Belgium,EUROPE
3339,Critical Manufacturing,Other,Japan,NEA
3339,Critical Manufacturing,Other,Japan,SCS
3339,Critical Manufacturing,Other,Japan,ASIA
2534,Telecommunications,Internet Service Providers,Denmark,NORTHEU
2534,Telecommunications,Internet Service Providers,Denmark,EU
2534,Telecommunications,Internet Service Providers,Denmark,NATO
2534,Telecommunications,Internet Service Providers,Denmark,EUROPE
2558,Research,University Research Departments,Not available,No region
2558,Research,University Research Departments,Australia,OC
2127,Telecommunications,Telecommunications Equipment Manufacturers,Japan,NEA
2127,Telecommunications,Telecommunications Equipment Manufacturers,Japan,SCS
2127,Telecommunications,Telecommunications Equipment Manufacturers,Japan,ASIA
2127,Telecommunications,Internet Service Providers,Japan,NEA
2127,Telecommunications,Internet Service Providers,Japan,SCS
2127,Telecommunications,Internet Service Providers,Japan,ASIA
2619,Space,Satellite Operators,Global (region),No region
2619,Defence industry,Unknown,Global (region),No region
2619,Health,Unknown,Global (region),No region
2652,Finance,Fintech Companies,China,SCO
2652,Finance,Fintech Companies,China,NEA
2652,Finance,Fintech Companies,China,EASIA
2652,Finance,Fintech Companies,China,SCS
2652,Finance,Fintech Companies,China,ASIA
2996,Finance,Fintech Companies,Estonia,NORTHEU
2996,Finance,Fintech Companies,Estonia,EU
2996,Finance,Fintech Companies,Estonia,NATO
2996,Finance,Fintech Companies,Estonia,EUROPE
2996,Finance,Payment Processors,Estonia,NORTHEU
2996,Finance,Payment Processors,Estonia,EU
2996,Finance,Payment Processors,Estonia,NATO
2996,Finance,Payment Processors,Estonia,EUROPE
3125,Finance,Other,Italy,EU
3125,Finance,Other,Italy,NATO
3125,Finance,Other,Italy,EUROPE
3126,Research,Unknown,Spain,EU
3126,Research,Unknown,Spain,NATO
3126,Research,Unknown,Spain,EUROPE
3128,Telecommunications,Internet Service Providers,Nicaragua,CENTAM
3128,Telecommunications,Mobile Network Operators,Nicaragua,CENTAM
3128,Telecommunications,Internet Service Providers,Costa Rica,CENTAM
3128,Telecommunications,Mobile Network Operators,Costa Rica,CENTAM
3128,Telecommunications,Internet Service Providers,Guatemala,CENTAM
3128,Telecommunications,Mobile Network Operators,Guatemala,CENTAM
3128,Telecommunications,Internet Service Providers,El Salvador,CENTAM
3128,Telecommunications,Mobile Network Operators,El Salvador,CENTAM
3128,Telecommunications,Internet Service Providers,Honduras,CENTAM
3128,Telecommunications,Mobile Network Operators,Honduras,CENTAM
3129,Research,University Research Departments,Iceland,NORTHEU
3129,Research,University Research Departments,Iceland,NATO
3129,Research,University Research Departments,Iceland,EUROPE
3130,Finance,Fintech Companies,Not available,No region
3131,Transportation,"Public Transit Systems (local public transportation, including buses, undergrounds, trams, etc.)",Spain,EU
3131,Transportation,"Public Transit Systems (local public transportation, including buses, undergrounds, trams, etc.)",Spain,NATO
3131,Transportation,"Public Transit Systems (local public transportation, including buses, undergrounds, trams, etc.)",Spain,EUROPE
3134,Telecommunications,Unknown,France,WESTEU
3134,Telecommunications,Unknown,France,EU
3134,Telecommunications,Unknown,France,NATO
3134,Telecommunications,Unknown,France,EUROPE
3134,Finance,Banks,France,WESTEU
3134,Finance,Banks,France,EU
3134,Finance,Banks,France,NATO
3134,Finance,Banks,France,EUROPE
3138,Critical Manufacturing,Automotive Manufacturers,Germany,WESTEU
3138,Critical Manufacturing,Automotive Manufacturers,Germany,EU
3138,Critical Manufacturing,Automotive Manufacturers,Germany,NATO
3138,Critical Manufacturing,Automotive Manufacturers,Germany,EUROPE
3140,Digital Provider,Other,France,WESTEU
3140,Digital Provider,Other,France,EU
3140,Digital Provider,Other,France,NATO
3140,Digital Provider,Other,France,EUROPE
3140,Telecommunications,Internet Service Providers,France,WESTEU
3140,Telecommunications,Internet Service Providers,France,EU
3140,Telecommunications,Internet Service Providers,France,NATO
3140,Telecommunications,Internet Service Providers,France,EUROPE
3141,Telecommunications,Internet Service Providers,Uganda,SSA
3141,Telecommunications,Internet Service Providers,Uganda,AFRICA
3141,Telecommunications,Mobile Network Operators,Uganda,SSA
3141,Telecommunications,Mobile Network Operators,Uganda,AFRICA
3143,Transportation,Airlines,Guinea,SSA
3143,Transportation,Airlines,Guinea,AFRICA
3145,Finance,Banks,United States,NORTHAM
3145,Finance,Banks,United States,NATO
3147,Health,Other healthcare providers,Germany,WESTEU
3147,Health,Other healthcare providers,Germany,EU
3147,Health,Other healthcare providers,Germany,NATO
3147,Health,Other healthcare providers,Germany,EUROPE
3147,Health,Healthcare Support and Services,Germany,WESTEU
3147,Health,Healthcare Support and Services,Germany,EU
3147,Health,Healthcare Support and Services,Germany,NATO
3147,Health,Healthcare Support and Services,Germany,EUROPE
3147,Health,Hospitals,Germany,WESTEU
3147,Health,Hospitals,Germany,EU
3147,Health,Hospitals,Germany,NATO
3147,Health,Hospitals,Germany,EUROPE
3152,Health,Clinics,Romania,EU
3152,Health,Clinics,Romania,NATO
3152,Health,Clinics,Romania,BALKANS
3152,Health,Clinics,Romania,EUROPE
3152,Health,Hospitals,Romania,EU
3152,Health,Hospitals,Romania,NATO
3152,Health,Hospitals,Romania,BALKANS
3152,Health,Hospitals,Romania,EUROPE
3153,Health,Healthcare Support and Services,Italy,EU
3153,Health,Healthcare Support and Services,Italy,NATO
3153,Health,Healthcare Support and Services,Italy,EUROPE
3154,Transportation,Other,Lithuania,NORTHEU
3154,Transportation,Other,Lithuania,EU
3154,Transportation,Other,Lithuania,NATO
3154,Transportation,Other,Lithuania,EUROPE
3160,Finance,Banks,Poland,EASTEU
3160,Finance,Banks,Poland,EU
3160,Finance,Banks,Poland,NATO
3160,Finance,Banks,Poland,EUROPE
3216,Research,University Research Departments,Germany,WESTEU
3216,Research,University Research Departments,Germany,EU
3216,Research,University Research Departments,Germany,NATO
3216,Research,University Research Departments,Germany,EUROPE
2371,Digital Provider,Cloud Computing Services,Italy,EU
2371,Digital Provider,Cloud Computing Services,Italy,NATO
2371,Digital Provider,Cloud Computing Services,Italy,EUROPE
2371,Critical Manufacturing,Other,Italy,EU
2371,Critical Manufacturing,Other,Italy,NATO
2371,Critical Manufacturing,Other,Italy,EUROPE
2372,Critical Manufacturing,Unknown,United States,NORTHAM
2372,Critical Manufacturing,Unknown,United States,NATO
1648,Transportation,Railway Operators,Belarus,CSTO
1648,Transportation,Railway Operators,Belarus,EASTEU
1648,Transportation,Railway Operators,Belarus,EUROPE
2783,Transportation,Logistics Companies,Australia,OC
2783,Transportation,Shipping Companies,Australia,OC
3283,Research,Unknown,Southeast Asia (region),SEA
3283,Research,Unknown,United States,NORTHAM
3283,Research,Unknown,United States,NATO
3283,Research,Unknown,United Kingdom,NORTHEU
3283,Research,Unknown,United Kingdom,EU
3283,Research,Unknown,United Kingdom,NATO
3283,Research,Unknown,United Kingdom,EUROPE
3283,Research,Unknown,Hong Kong,ASIA
3288,Telecommunications,Internet Service Providers,Ukraine,EASTEU
3288,Telecommunications,Internet Service Providers,Ukraine,EUROPE
